,BOX,DEX,SFX,POX,WDX,CRX,SDX,LVX,SEX,LXX,MIX,PHX,CHX,TPX,MNX,DAX,DNX,ATX,CEX
1987-01-01,70.27,,46.96,41.3,64.41,63.56,54.79,66.42,,59.43,68.55,,54.21,77.44,,,50.35,,54.06
1987-02-01,70.64,,47.3,41.44,65.13,64.03,55.22,67.57,,59.89,68.92,,55.23,78.1,,,50.16,,54.23
1987-03-01,71.05,,47.84,41.42,66.0,64.11,55.49,67.85,,60.4,69.39,,54.81,77.69,,,50.38,,54.37
1987-04-01,71.41,,47.98,41.27,66.64,64.89,56.05,68.19,,61.32,69.46,,54.8,77.82,,,50.74,,54.16
1987-05-01,71.88,,48.31,41.4,67.44,65.22,56.46,67.93,,62.03,69.75,,55.48,77.97,,,50.76,,54.73
1987-06-01,72.3,,48.61,41.43,68.52,65.56,56.79,66.8,,62.78,69.47,,56.06,78.68,,,50.43,,54.88
1987-07-01,72.62,,49.08,41.56,69.39,65.72,57.08,65.76,,63.46,69.64,,57.11,78.99,,,50.2,,55.29
1987-08-01,73.16,,49.54,41.6,70.25,65.87,57.38,65.03,,64.13,69.8,,57.61,78.95,,,50.12,,55.44
1987-09-01,73.75,,50.24,41.54,71.4,66.27,57.84,65.28,,64.89,70.57,,58.27,79.04,,,50.06,,55.84
1987-10-01,74.01,,50.99,41.63,72.32,66.59,58.3,65.51,,65.77,71.02,,59.01,78.87,,,50.15,,56.13
1987-11-01,74.42,,51.64,41.57,73.16,67.12,58.9,66.53,,66.71,71.42,,59.71,79.02,,,49.73,,56.46
1987-12-01,74.58,,52.23,41.8,73.59,67.38,59.4,66.49,,67.78,71.46,,61.08,79.36,,,49.85,,56.61
1988-01-01,74.66,,52.7,41.84,74.4,67.78,60.02,66.7,,68.78,71.68,,61.97,79.5,,,49.55,,56.99
1988-02-01,74.59,,53.2,41.66,75.29,67.53,60.49,66.43,,69.71,71.83,,63.45,79.43,,,49.49,,57.22
1988-03-01,74.48,,53.87,42.24,76.39,67.96,61.28,66.76,,70.7,72.35,,64.51,79.24,,,49.06,,57.9
1988-04-01,74.53,,54.53,42.43,77.3,67.93,61.44,67.43,,71.48,72.72,,65.15,79.66,,,48.74,,58.07
1988-05-01,74.81,,56.07,42.74,78.38,67.99,61.85,67.58,,72.48,73.1,,65.57,79.95,,,48.35,,58.26
1988-06-01,75.0,,57.88,42.71,79.34,68.13,61.44,67.53,,74.39,73.71,,66.46,80.18,,,48.17,,58.96
1988-07-01,75.03,,58.17,42.84,80.78,68.57,64.59,67.65,,76.92,74.11,,66.55,80.51,,,48.22,,59.22
1988-08-01,74.84,,58.5,43.2,81.93,69.42,65.29,67.95,,78.67,74.68,,67.75,80.71,,,48.25,,59.63
1988-09-01,74.71,,58.94,43.43,83.16,69.71,66.08,68.46,,80.61,75.25,,68.02,80.63,,,48.21,,59.89
1988-10-01,74.6,,59.95,43.74,83.67,69.89,67.18,68.46,,82.38,75.6,,69.03,80.73,,,48.03,,60.34
1988-11-01,74.64,,61.11,43.95,84.63,69.64,68.43,68.14,,84.41,75.96,,68.65,80.61,,,47.75,,60.73
1988-12-01,74.7,,62.47,44.21,85.93,69.85,69.83,67.83,,85.82,76.22,,68.51,80.9,,,47.44,,61.31
1989-01-01,74.52,,63.29,44.48,86.87,69.92,71.17,68.78,,87.47,76.58,67.57,68.33,80.56,63.49,,47.47,,62.0
1989-02-01,75.17,,64.06,44.8,87.8,70.33,72.76,69.64,,88.77,76.99,67.62,69.01,80.99,63.15,,47.45,,62.07
1989-03-01,75.55,,65.56,45.0,88.62,70.62,74.48,70.48,,91.15,77.18,67.92,70.07,81.61,62.69,,47.53,,62.17
1989-04-01,75.39,,66.7,45.35,89.33,70.88,75.81,70.0,,93.01,77.55,67.97,70.65,81.97,63.08,,47.47,,61.97
1989-05-01,75.04,,67.7,45.61,89.78,71.22,77.05,69.79,,94.57,77.57,68.07,70.51,82.35,63.18,,47.6,,62.64
1989-06-01,74.52,,68.78,46.02,90.2,71.48,78.14,71.55,,95.51,77.81,67.7,70.52,81.96,63.74,,47.61,,62.83
1989-07-01,74.18,,69.59,46.26,90.71,71.66,79.03,71.77,,96.25,78.04,67.34,70.33,81.87,63.56,,47.5,,63.27
1989-08-01,73.44,,70.72,46.59,91.37,71.61,80.1,72.39,,96.66,78.26,66.95,70.37,81.24,63.8,,47.48,,63.88
1989-09-01,73.01,,71.59,46.93,91.93,71.68,81.1,72.79,,97.2,78.25,66.82,70.18,81.67,63.89,,47.6,,64.31
1989-10-01,72.72,,72.43,47.35,92.19,71.82,82.06,73.46,,97.88,78.38,66.56,70.06,81.94,64.12,,47.9,,64.72
1989-11-01,72.99,,73.02,47.76,92.38,72.29,82.71,74.26,,99.0,78.32,66.49,69.87,82.3,64.4,,48.11,,64.57
1989-12-01,73.0,,73.39,48.71,92.84,72.58,83.57,74.86,,99.77,78.72,66.5,69.68,82.15,64.39,,48.21,,65.2
1990-01-01,73.1,,73.64,49.65,93.36,72.84,84.08,75.56,58.89,100.47,79.17,66.58,69.36,82.43,64.22,,48.24,,65.37
1990-02-01,72.87,,73.82,50.57,93.66,73.01,84.74,75.64,60.96,100.76,79.67,66.7,68.7,82.74,64.01,,48.36,,65.98
1990-03-01,72.19,,74.6,50.77,93.61,73.16,85.13,76.6,62.95,100.99,79.53,66.64,68.9,83.12,64.23,,48.5,,66.3
1990-04-01,71.65,,75.07,51.46,93.59,73.46,85.55,77.27,65.46,100.99,79.44,66.78,69.48,82.75,64.47,,48.52,,66.92
1990-05-01,70.69,,75.02,52.07,93.11,73.6,85.74,77.85,66.55,100.39,79.68,66.59,70.0,82.72,64.6,,48.47,,67.06
1990-06-01,69.99,,74.59,53.39,92.63,74.04,85.75,78.73,67.42,100.11,79.86,66.6,70.25,82.44,64.58,,48.58,,67.61
1990-07-01,69.36,,74.05,54.43,92.23,73.92,85.59,79.65,67.58,99.51,80.03,66.4,70.66,82.63,64.34,,48.66,,67.92
1990-08-01,68.9,,73.75,55.56,91.84,73.99,85.34,80.58,67.85,99.05,79.87,66.26,70.58,82.43,64.08,,48.67,,68.24
1990-09-01,68.6,,73.48,56.63,91.43,73.89,85.22,81.0,67.51,98.43,79.67,65.94,70.94,82.08,64.15,,48.76,,68.38
1990-10-01,68.08,,72.91,57.01,91.26,73.92,84.92,81.55,67.25,98.0,79.44,65.81,70.72,81.67,64.42,,48.67,,68.47
1990-11-01,67.12,,72.37,57.09,91.01,73.5,84.65,81.38,66.93,97.11,79.55,65.38,70.96,81.51,64.39,,48.75,,68.68
1990-12-01,66.19,,71.86,56.82,90.94,73.51,84.03,81.7,66.77,96.55,79.35,65.45,70.75,81.78,64.54,,48.73,,68.79
1991-01-01,65.31,58.42,71.94,56.78,89.71,73.43,83.48,81.09,66.26,95.57,79.02,65.28,70.84,81.94,64.62,,48.94,69.62,68.81
1991-02-01,64.75,58.13,71.13,57.32,89.26,73.35,82.56,82.06,65.61,94.7,78.72,65.48,71.1,82.12,64.54,,48.98,69.47,68.81
1991-03-01,64.45,58.15,70.61,58.63,88.21,72.96,81.6,82.15,65.13,93.77,78.73,64.79,70.94,81.55,64.41,,49.06,69.32,69.06
1991-04-01,64.03,58.22,69.91,58.77,87.92,73.18,81.21,82.24,65.45,93.74,78.74,64.63,71.24,81.55,64.29,,49.31,69.72,69.5
1991-05-01,64.09,58.51,70.01,59.07,88.65,73.37,81.53,82.35,65.75,93.91,78.24,64.51,71.4,81.28,64.63,,49.55,69.8,69.89
1991-06-01,64.06,58.81,70.28,59.33,88.94,73.43,81.89,82.27,66.07,94.06,78.52,64.93,71.32,81.66,64.83,,49.89,70.05,70.18
1991-07-01,64.01,59.04,70.66,59.58,88.99,73.37,82.1,83.34,66.25,94.28,78.63,65.32,71.58,81.72,65.39,,50.33,69.91,70.55
1991-08-01,64.1,59.19,70.83,59.72,88.61,73.23,81.94,83.64,66.34,94.26,79.39,65.56,71.79,81.89,65.68,,50.51,70.09,70.65
1991-09-01,64.14,59.29,70.82,59.81,88.49,73.2,81.66,84.86,66.41,94.09,79.07,65.74,71.97,81.52,66.0,,50.65,70.04,70.97
1991-10-01,64.11,59.54,70.71,60.29,88.42,73.41,81.66,82.99,66.17,93.88,79.1,65.72,72.18,81.4,65.64,,50.83,70.14,71.07
1991-11-01,63.86,59.63,70.53,60.38,88.67,73.68,81.45,81.58,66.18,93.47,79.07,66.08,72.37,81.58,65.67,,51.04,70.12,71.22
1991-12-01,63.81,59.76,70.45,61.22,88.47,73.83,81.34,82.83,66.08,93.14,78.98,66.04,73.01,81.81,65.87,,51.32,70.01,71.25
1992-01-01,63.56,59.75,70.4,61.67,88.57,73.67,80.86,83.04,66.32,92.79,79.03,66.04,73.43,81.68,66.09,,51.52,70.07,71.69
1992-02-01,63.56,59.84,70.34,61.99,88.22,73.66,80.57,83.5,66.48,92.57,78.66,66.07,73.72,80.76,66.54,,52.28,70.17,72.06
1992-03-01,63.81,60.08,70.19,62.17,88.64,73.51,80.69,83.12,66.81,91.91,78.93,66.11,73.89,80.42,66.77,,53.07,70.23,72.64
1992-04-01,64.4,60.53,69.69,62.12,88.84,73.55,80.68,83.01,67.24,91.44,79.17,66.09,73.23,80.72,66.94,,53.58,70.22,72.55
1992-05-01,64.35,60.78,69.73,62.37,88.98,73.55,80.45,83.21,67.3,90.87,79.66,66.14,73.42,81.04,66.97,,53.8,70.39,72.64
1992-06-01,64.15,60.84,69.49,62.47,88.87,73.54,79.91,83.13,67.32,90.17,79.79,66.13,74.13,81.13,67.2,,53.95,70.5,72.77
1992-07-01,63.94,60.9,69.27,62.59,88.5,73.87,79.57,82.77,67.32,89.49,78.06,66.1,74.9,80.63,67.26,,54.14,71.08,72.86
1992-08-01,63.97,61.05,68.96,63.06,88.48,74.05,79.27,82.4,67.11,88.93,77.82,66.17,74.98,80.39,67.39,,54.39,71.14,73.17
1992-09-01,63.9,61.25,68.81,63.49,88.41,74.42,79.04,82.47,66.9,88.32,77.46,66.24,75.23,80.34,67.41,,54.72,71.29,73.46
1992-10-01,64.03,61.24,68.83,63.94,88.59,74.25,78.16,82.96,67.43,87.36,79.33,66.43,75.55,81.31,67.7,,54.82,71.03,73.79
1992-11-01,64.03,61.27,68.75,64.67,88.67,74.34,77.92,83.31,67.59,86.64,79.5,66.5,75.91,81.7,67.93,,55.24,71.36,74.08
1992-12-01,64.47,61.42,68.58,64.93,88.81,74.47,77.48,82.89,67.85,85.82,79.85,66.68,75.85,81.58,68.05,,55.6,71.43,74.38
1993-01-01,64.86,61.56,68.45,65.22,89.07,74.67,77.65,82.56,68.21,85.25,79.85,66.87,76.01,81.51,68.16,,56.13,71.53,74.79
1993-02-01,64.95,61.68,68.29,65.42,89.28,74.82,76.99,83.01,68.65,84.66,80.04,67.02,76.01,81.54,68.02,,56.43,71.53,74.8
1993-03-01,64.82,61.7,68.07,65.86,89.44,74.79,76.62,83.2,68.79,83.62,80.02,67.37,76.22,82.1,68.53,,56.95,71.75,74.95
1993-04-01,64.71,61.93,67.99,66.56,88.94,74.73,75.91,82.8,68.29,82.79,80.33,67.53,76.32,82.49,68.89,,57.15,72.23,75.0
1993-05-01,64.83,62.25,67.76,67.09,88.48,74.73,75.55,81.96,67.86,82.04,80.96,67.85,76.69,82.59,69.3,,57.57,72.63,75.38
1993-06-01,65.15,62.67,67.47,67.76,88.65,75.07,75.05,81.92,67.58,81.43,81.35,67.99,77.29,82.29,69.3,,58.18,72.83,75.65
1993-07-01,65.52,62.96,66.93,68.17,88.82,75.29,74.49,81.99,67.55,80.57,81.8,68.3,77.55,82.27,69.57,,58.81,73.12,75.99
1993-08-01,65.73,63.23,66.95,68.23,88.92,75.36,74.18,82.4,68.01,79.48,82.03,68.45,77.63,82.61,69.86,,59.53,73.27,76.11
1993-09-01,65.85,63.4,66.83,68.68,88.79,75.42,74.27,82.88,68.72,79.05,82.35,68.99,77.81,83.36,70.49,,60.14,73.58,76.58
1993-10-01,65.88,63.77,66.77,69.22,88.62,75.72,74.26,83.14,69.15,78.38,82.61,69.29,78.11,83.67,70.81,,60.84,73.77,76.99
1993-11-01,66.22,64.18,66.72,70.12,88.51,76.32,74.31,83.74,69.66,78.23,82.48,69.8,78.43,83.44,71.22,,61.43,73.99,77.65
1993-12-01,66.52,64.39,66.63,70.66,88.84,76.86,74.11,83.8,69.9,77.57,82.71,70.13,79.11,82.88,71.21,,62.24,74.37,78.26
1994-01-01,66.82,64.53,66.63,71.12,88.99,77.14,74.27,83.97,70.57,77.4,83.36,70.6,80.19,82.94,71.92,,62.82,74.76,78.78
1994-02-01,67.07,64.66,66.65,71.59,89.02,77.29,74.11,83.76,70.41,77.44,84.35,71.03,80.17,83.49,72.37,,63.48,75.36,79.03
1994-03-01,67.47,65.08,67.32,72.23,89.31,77.45,74.01,84.08,70.38,77.26,85.17,71.43,80.08,83.96,73.23,,63.94,75.47,79.14
1994-04-01,68.03,65.26,67.42,72.73,89.48,77.68,74.02,84.4,70.66,77.09,85.07,71.92,80.2,83.91,73.14,,64.55,75.52,79.16
1994-05-01,67.93,65.62,67.54,73.42,89.79,77.87,74.25,85.44,71.22,76.67,85.06,72.22,80.57,83.98,73.14,,65.05,75.78,79.52
1994-06-01,68.13,65.96,67.61,73.86,90.09,78.2,74.44,85.93,71.41,76.44,85.29,72.48,80.62,83.96,72.91,,65.61,76.05,79.72
1994-07-01,68.16,66.38,67.64,74.55,90.18,78.62,74.55,86.29,71.48,76.41,85.65,72.87,80.66,84.71,72.67,,65.96,76.4,79.91
1994-08-01,68.29,66.73,67.68,75.08,90.08,79.14,74.19,86.07,71.37,76.41,86.0,73.27,80.91,85.02,72.76,,66.3,76.58,80.15
1994-09-01,68.44,67.04,67.54,75.63,90.05,79.6,73.71,86.17,71.47,76.43,86.16,73.77,81.18,85.09,72.83,,66.52,76.69,80.31
1994-10-01,68.66,67.32,67.79,75.82,90.04,79.79,73.73,86.28,71.7,76.55,86.26,74.14,81.62,84.81,73.03,,66.86,77.13,80.67
1994-11-01,68.79,67.5,68.05,76.08,90.14,79.89,73.46,86.54,72.0,76.47,86.52,74.45,81.72,84.83,73.18,,67.18,77.57,81.12
1994-12-01,68.78,67.94,68.31,76.32,89.95,80.23,73.44,87.22,72.12,76.39,86.84,74.9,81.86,85.29,72.9,,67.57,78.04,81.35
1995-01-01,68.79,68.97,68.42,77.16,89.67,80.68,73.05,87.32,72.5,76.38,86.92,75.22,81.88,85.98,73.34,,67.95,78.23,81.6
1995-02-01,69.01,70.83,68.32,77.55,89.6,81.22,73.16,87.59,72.0,76.02,86.71,75.6,82.15,85.88,73.96,,68.31,78.54,81.6
1995-03-01,69.13,70.74,67.73,78.4,89.4,81.25,73.0,87.74,71.96,75.78,86.75,75.67,82.28,85.71,74.78,,68.6,78.58,81.84
1995-04-01,68.98,70.19,67.41,78.16,89.13,81.59,72.92,88.27,71.55,75.36,86.71,75.92,82.35,85.72,75.12,,68.73,78.61,82.22
1995-05-01,69.09,70.27,67.11,78.4,88.93,81.82,72.53,88.15,71.57,75.12,86.82,76.22,82.32,85.85,75.43,,69.16,78.58,82.49
1995-06-01,69.39,70.56,66.92,79.16,88.67,82.38,72.1,88.03,71.43,74.56,86.96,76.79,82.52,86.41,75.58,,69.37,78.63,83.24
1995-07-01,69.7,70.91,66.96,79.9,88.57,82.89,72.09,87.92,71.98,74.5,86.95,77.14,82.85,86.61,75.82,,69.82,78.93,83.14
1995-08-01,70.03,71.37,67.02,80.91,88.65,83.43,72.14,88.33,72.34,74.28,87.26,77.45,83.11,86.85,76.06,,70.16,79.32,83.66
1995-09-01,70.12,71.94,67.11,81.25,88.8,84.08,72.19,88.65,72.61,74.19,87.24,77.6,83.43,86.92,76.23,,70.7,79.68,83.87
1995-10-01,70.14,72.39,66.97,81.78,88.76,84.5,72.11,88.92,72.8,74.09,87.45,78.02,83.51,87.1,75.7,,71.06,79.98,84.34
1995-11-01,70.11,72.89,66.91,81.97,88.65,84.9,71.7,89.01,72.96,74.03,87.39,78.39,83.88,87.27,75.9,,71.36,80.17,84.44
1995-12-01,70.27,73.21,66.85,82.68,88.64,85.28,71.81,89.13,73.24,73.94,87.52,78.86,83.96,87.13,76.14,,71.64,80.47,84.62
1996-01-01,70.68,73.58,66.88,83.2,88.66,85.56,71.89,89.19,73.17,73.92,87.43,79.26,84.26,87.22,76.53,,71.74,80.8,84.61
1996-02-01,70.96,74.15,66.9,84.01,88.54,86.07,72.04,89.5,73.28,73.84,87.52,79.71,83.92,87.39,76.7,,71.96,81.28,85.05
1996-03-01,71.39,74.71,66.81,84.48,88.61,87.28,71.76,89.44,73.74,73.86,87.16,80.08,84.02,87.86,76.82,,72.34,81.38,85.61
1996-04-01,71.66,75.41,66.69,85.21,88.87,87.99,71.82,89.77,73.92,73.86,87.34,80.48,84.83,88.0,76.73,,72.9,81.66,86.24
1996-05-01,71.82,75.97,66.78,85.79,88.87,88.6,71.96,89.82,73.9,74.0,87.47,80.77,85.06,87.93,76.91,,73.33,81.82,86.38
1996-06-01,72.08,76.51,67.02,86.26,88.78,88.38,71.83,90.22,74.01,74.15,87.57,81.02,85.21,87.88,77.34,,73.34,82.07,86.61
1996-07-01,72.44,77.04,67.22,86.67,88.71,88.18,71.72,90.22,73.99,74.11,87.83,81.34,85.18,87.76,77.89,,73.53,82.09,87.0
1996-08-01,72.93,77.59,67.54,86.98,88.64,88.28,71.39,90.11,74.45,74.05,87.84,81.61,85.31,87.9,78.15,,73.54,82.41,87.27
1996-09-01,73.02,78.02,67.8,87.95,88.68,88.22,71.71,89.81,74.28,74.0,87.98,81.86,85.54,87.79,78.47,,73.9,82.74,87.48
1996-10-01,73.32,78.58,68.26,89.0,88.82,88.46,71.83,89.66,74.68,74.18,87.94,82.07,85.81,88.21,78.85,,74.26,83.04,87.62
1996-11-01,73.48,78.96,68.94,90.19,88.92,88.92,72.15,89.48,74.72,74.42,88.11,82.3,86.12,88.29,79.3,,74.74,83.32,87.72
1996-12-01,74.2,79.17,69.21,90.75,88.67,89.27,72.22,90.14,75.15,74.52,88.0,82.48,86.45,88.72,79.59,,75.19,83.42,87.96
1997-01-01,74.61,79.35,69.64,91.24,88.78,89.73,72.56,90.78,75.73,74.54,88.06,82.8,86.52,88.65,79.98,,75.39,83.7,87.68
1997-02-01,74.91,79.24,69.84,92.22,88.97,89.89,72.75,91.63,76.33,74.4,88.07,83.18,86.53,88.65,79.97,,75.76,83.87,88.48
1997-03-01,75.35,80.25,70.64,93.1,89.34,90.42,72.97,91.91,76.87,74.79,88.34,83.55,86.83,87.95,79.89,,76.17,84.09,88.92
1997-04-01,75.73,80.97,71.26,93.53,88.92,90.37,73.25,91.63,77.86,75.27,88.55,83.95,86.92,88.44,79.67,,76.59,84.52,88.83
1997-05-01,76.13,81.73,71.79,93.66,88.93,90.55,73.49,91.5,78.78,75.76,88.67,84.27,86.89,88.71,80.39,,76.94,84.96,89.0
1997-06-01,76.49,82.22,72.31,93.03,88.97,90.66,74.05,91.72,79.65,76.19,88.75,84.39,86.89,88.82,80.73,,77.35,85.13,88.82
1997-07-01,76.75,82.52,72.8,93.16,89.01,91.14,74.42,92.08,80.67,76.54,88.81,84.44,87.22,88.92,82.06,,77.8,85.35,89.47
1997-08-01,77.07,82.84,73.57,92.88,89.12,91.42,75.01,92.49,81.11,77.16,88.89,84.56,87.56,89.23,82.26,,78.31,85.55,89.4
